epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4947,1.37428,3.78621,1.20435,0.24113,0.2779,0.26491,0.17101,1.30037,1.82165,1.09294,0.00013,0.00013,0.00013
2,29.4495,1.26378,1.30299,1.13558,0.47459,0.33247,0.28684,0.1697,1.29708,1.50203,1.13542,0.000267327,0.000267327,0.000267327
3,39.0861,1.27547,1.2387,1.16671,0.54012,0.33922,0.29701,0.16459,1.4734,1.64612,1.30663,0.000401882,0.000401882,0.000401882
4,49.1281,1.23899,1.13949,1.15146,0.62393,0.29251,0.32773,0.17194,1.37988,1.664,1.29056,0.000533665,0.000533665,0.000533665
5,60.4109,1.27199,1.16992,1.19555,0.37149,0.40208,0.30896,0.16223,1.46196,1.71574,1.40686,0.000662676,0.000662676,0.000662676
6,69.7226,1.29569,1.10288,1.19957,0.32995,0.26689,0.26616,0.11098,1.56229,1.68807,1.38354,0.000788915,0.000788915,0.000788915
7,79.741,1.26715,1.04589,1.17456,0.19498,0.23505,0.18506,0.10181,1.53438,2.17901,1.3294,0.000912382,0.000912382,0.000912382
8,89.6849,1.2805,1.0384,1.18293,0.66609,0.16909,0.23794,0.13639,1.48792,1.76656,1.34134,0.0009307,0.0009307,0.0009307
9,99.4377,1.27046,1.02672,1.16841,0.62007,0.17901,0.21387,0.12312,1.51745,1.46867,1.34131,0.0009208,0.0009208,0.0009208
10,109.294,1.2542,0.99425,1.15564,0.26534,0.30136,0.23281,0.13159,1.49337,1.39951,1.32309,0.0009109,0.0009109,0.0009109
11,119.274,1.21926,0.94684,1.13301,0.21055,0.43455,0.29584,0.17066,1.4642,1.83096,1.32416,0.000901,0.000901,0.000901
12,129.333,1.17513,0.90366,1.12462,0.34313,0.5564,0.43896,0.25256,1.41255,1.70491,1.25212,0.0008911,0.0008911,0.0008911
13,139.609,1.23678,0.91721,1.13565,0.29058,0.44561,0.36431,0.18683,1.38822,1.38463,1.24916,0.0008812,0.0008812,0.0008812
14,149.374,1.19997,0.88056,1.14197,0.49263,0.29252,0.29913,0.18489,1.43088,1.34911,1.26421,0.0008713,0.0008713,0.0008713
15,159.434,1.19994,0.91902,1.13023,0.44542,0.2213,0.2316,0.14302,1.37476,1.39898,1.21795,0.0008614,0.0008614,0.0008614
16,170.049,1.19926,0.88808,1.13353,0.53738,0.35054,0.37317,0.23221,1.31924,1.24313,1.20073,0.0008515,0.0008515,0.0008515
17,179.483,1.15589,0.85285,1.10225,0.63827,0.25507,0.35389,0.21842,1.37213,1.31958,1.23767,0.0008416,0.0008416,0.0008416
18,189.773,1.14392,0.86075,1.10533,0.60251,0.44435,0.5035,0.30251,1.30904,1.35039,1.18538,0.0008317,0.0008317,0.0008317
19,200.176,1.09743,0.76432,1.06352,0.41874,0.47726,0.35766,0.20927,1.35988,1.1685,1.1924,0.0008218,0.0008218,0.0008218
20,210.188,1.09308,0.77681,1.08226,0.34869,0.43981,0.42148,0.23688,1.35654,1.07186,1.21894,0.0008119,0.0008119,0.0008119
21,220.476,1.12514,0.7991,1.09175,0.60144,0.38403,0.46441,0.29119,1.33177,1.08872,1.1937,0.000802,0.000802,0.000802
22,230.478,1.10811,0.82222,1.08991,0.6345,0.36556,0.40346,0.24149,1.36688,1.13898,1.22986,0.0007921,0.0007921,0.0007921
23,240.54,1.12708,0.80993,1.09764,0.63164,0.47513,0.4987,0.32739,1.31509,1.01798,1.19491,0.0007822,0.0007822,0.0007822
24,250.631,1.09125,0.7879,1.1104,0.47632,0.49676,0.50925,0.26818,1.34716,0.97568,1.2061,0.0007723,0.0007723,0.0007723
25,260.481,1.10409,0.78854,1.08135,0.64959,0.36393,0.4675,0.27093,1.33826,1.03646,1.18968,0.0007624,0.0007624,0.0007624
26,270.766,1.07599,0.76749,1.08855,0.77936,0.33645,0.37521,0.20355,1.35387,1.14674,1.20096,0.0007525,0.0007525,0.0007525
27,281.211,1.07102,0.72234,1.06066,0.51954,0.41708,0.4077,0.21872,1.31967,1.08995,1.19385,0.0007426,0.0007426,0.0007426
28,290.753,1.04352,0.7005,1.05313,0.6725,0.50606,0.55021,0.29052,1.27478,0.99812,1.16899,0.0007327,0.0007327,0.0007327
